episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,227.86508599779756,2000,"{'drone0': 36, 'drone1': 36, 'drone2': 36, 'drone3': 35}","{'drone0': 2.0531218, 'drone1': 2.0634174, 'drone2': 2.065461, 'drone3': 2.092589}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,225.9938355939989,2000,"{'drone0': 36, 'drone1': 36, 'drone2': 35, 'drone3': 35}","{'drone0': 2.0593832, 'drone1': 2.064498, 'drone2': 2.068752, 'drone3': 2.0898097}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,194.39345809257006,2000,"{'drone0': 36, 'drone1': 36, 'drone2': 36, 'drone3': 35}","{'drone0': 2.0550625, 'drone1': 2.0672736, 'drone2': 2.0651631, 'drone3': 2.0943332}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,156.9831630458833,2000,"{'drone0': 34, 'drone1': 35, 'drone2': 33, 'drone3': 33}","{'drone0': 1.963617, 'drone1': 2.0827978, 'drone2': 1.8972527, 'drone3': 1.9102219}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,154.8245061140696,2000,"{'drone0': 34, 'drone1': 35, 'drone2': 33, 'drone3': 33}","{'drone0': 1.9655726, 'drone1': 2.0844655, 'drone2': 1.8985568, 'drone3': 1.9106492}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
