episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,44.076457231187476,2000,"{'drone0': 31, 'drone1': 31, 'drone2': 31, 'drone3': 31}","{'drone0': 1.9651692, 'drone1': 1.966399, 'drone2': 1.9664881, 'drone3': 1.9691448}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,50.41928477128601,2000,"{'drone0': 31, 'drone1': 31, 'drone2': 31, 'drone3': 31}","{'drone0': 1.9650512, 'drone1': 1.9657868, 'drone2': 1.9662907, 'drone3': 1.9689256}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,-47.89303325442758,2000,"{'drone0': 31, 'drone1': 31, 'drone2': 31, 'drone3': 31}","{'drone0': 1.9658047, 'drone1': 1.9661705, 'drone2': 1.9679855, 'drone3': 1.9685097}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,92.30731038146789,2000,"{'drone0': 31, 'drone1': 31, 'drone2': 31, 'drone3': 31}","{'drone0': 1.9646292, 'drone1': 1.9656674, 'drone2': 1.9669145, 'drone3': 1.967735}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,20.112090237113755,2000,"{'drone0': 31, 'drone1': 31, 'drone2': 31, 'drone3': 31}","{'drone0': 1.9652363, 'drone1': 1.9657702, 'drone2': 1.9667485, 'drone3': 1.9685682}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
