episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,547.6954816708812,2000,"{'drone0': 51, 'drone1': 51}","{'drone0': 3.2929113, 'drone1': 3.3011148}","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
1,440.84546865156784,2000,"{'drone0': 51, 'drone1': 51}","{'drone0': 3.2956026, 'drone1': 3.2984095}","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
2,816.3107839163932,2000,"{'drone0': 50, 'drone1': 48}","{'drone0': 3.2864654, 'drone1': 3.192801}","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
3,356.6462856601383,2000,"{'drone0': 51, 'drone1': 51}","{'drone0': 3.2950475, 'drone1': 3.3008351}","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
4,729.5105902393802,2000,"{'drone0': 51, 'drone1': 51}","{'drone0': 3.2968574, 'drone1': 3.3014386}","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
