episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,972.143989040493,2000,"{'drone0': 30, 'drone1': 30}","{'drone0': 1.9047462, 'drone1': 1.9060867}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,973.9082918444825,2000,"{'drone0': 30, 'drone1': 30}","{'drone0': 1.904573, 'drone1': 1.905664}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,972.8248738623987,2000,"{'drone0': 30, 'drone1': 30}","{'drone0': 1.9050568, 'drone1': 1.9064023}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,973.5461460837331,2000,"{'drone0': 30, 'drone1': 30}","{'drone0': 1.9048289, 'drone1': 1.905997}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,970.8523897609905,2000,"{'drone0': 30, 'drone1': 30}","{'drone0': 1.9061713, 'drone1': 1.9070752}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
