episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,353.11459015652224,2000,"{'drone0': 33, 'drone1': 33, 'drone2': 33}","{'drone0': 2.1244254, 'drone1': 2.124259, 'drone2': 2.1331954}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,352.99678038240006,2000,"{'drone0': 33, 'drone1': 34, 'drone2': 33}","{'drone0': 2.1226733, 'drone1': 2.1219213, 'drone2': 2.1319356}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,352.9782065198549,2000,"{'drone0': 33, 'drone1': 34, 'drone2': 33}","{'drone0': 2.1226845, 'drone1': 2.1218302, 'drone2': 2.131966}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,353.36736718635353,2000,"{'drone0': 33, 'drone1': 34, 'drone2': 33}","{'drone0': 2.1141062, 'drone1': 2.1134248, 'drone2': 2.1238494}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,355.44074223053775,2000,"{'drone0': 33, 'drone1': 33, 'drone2': 33}","{'drone0': 2.1197314, 'drone1': 2.1214082, 'drone2': 2.1281073}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
