episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,1088.0260653982643,2000,"{'drone0': 44, 'drone1': 43}","{'drone0': 2.7587657, 'drone1': 2.7743475}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,927.3164452472195,2000,"{'drone0': 44, 'drone1': 44}","{'drone0': 2.7651489, 'drone1': 2.7709134}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,1016.3114487585874,2000,"{'drone0': 44, 'drone1': 44}","{'drone0': 2.7677448, 'drone1': 2.7672904}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,1094.8121315145743,2000,"{'drone0': 44, 'drone1': 43}","{'drone0': 2.758186, 'drone1': 2.7746272}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,1051.4966272049535,2000,"{'drone0': 44, 'drone1': 44}","{'drone0': 2.766375, 'drone1': 2.7626631}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
