episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,1412.5733736850361,2000,"{'drone0': 33, 'drone1': 33}","{'drone0': 2.0287094, 'drone1': 2.0296228}","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
1,1405.4524243426592,2000,"{'drone0': 33, 'drone1': 33}","{'drone0': 2.0291135, 'drone1': 2.028923}","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
2,1785.482247230371,2000,"{'drone0': 33, 'drone1': 33}","{'drone0': 2.0242462, 'drone1': 2.0303674}","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
3,1787.343612242623,2000,"{'drone0': 33, 'drone1': 33}","{'drone0': 2.024088, 'drone1': 2.0296104}","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
4,1827.5807148739584,2000,"{'drone0': 33, 'drone1': 33}","{'drone0': 2.0276995, 'drone1': 2.0251513}","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
