episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,1356.2063694506262,2000,"{'drone0': 29, 'drone1': 29}","{'drone0': 1.9984415, 'drone1': 1.994697}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,1356.4888867280108,2000,"{'drone0': 29, 'drone1': 29}","{'drone0': 1.9982073, 'drone1': 1.9941138}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,1361.8270011817303,2000,"{'drone0': 29, 'drone1': 31}","{'drone0': 2.0042837, 'drone1': 2.0883994}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,1356.4742525326349,2000,"{'drone0': 29, 'drone1': 29}","{'drone0': 1.9986362, 'drone1': 1.9942263}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,1356.06879073643,2000,"{'drone0': 29, 'drone1': 29}","{'drone0': 1.9984201, 'drone1': 1.9945786}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
