episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,-971.5989262039749,2000,"{'drone0': 53, 'drone1': 63, 'drone2': 57, 'drone3': 47}","{'drone0': 3.3472528, 'drone1': 3.5621355, 'drone2': 3.4077802, 'drone3': 3.2084255}","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,-844.3012840864012,2000,"{'drone0': 59, 'drone1': 55, 'drone2': 49, 'drone3': 49}","{'drone0': 3.4959552, 'drone1': 3.3706646, 'drone2': 3.2067497, 'drone3': 3.2012324}","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,-793.2850358472809,2000,"{'drone0': 62, 'drone1': 63, 'drone2': 56, 'drone3': 57}","{'drone0': 3.6101437, 'drone1': 3.5637283, 'drone2': 3.3891618, 'drone3': 3.363199}","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,-976.3694006165179,2000,"{'drone0': 53, 'drone1': 63, 'drone2': 57, 'drone3': 45}","{'drone0': 3.3393764, 'drone1': 3.5653946, 'drone2': 3.4119797, 'drone3': 3.1908321}","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,-776.823512286135,2000,"{'drone0': 62, 'drone1': 63, 'drone2': 57, 'drone3': 60}","{'drone0': 3.6172676, 'drone1': 3.562585, 'drone2': 3.395665, 'drone3': 3.4755569}","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
