episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,43.97470917653628,2000,"{'drone0': 45, 'drone1': 46}","{'drone0': 2.3761318, 'drone1': 2.3597553}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,42.95408380932426,2000,"{'drone0': 45, 'drone1': 46}","{'drone0': 2.3768575, 'drone1': 2.3602428}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,47.986627644519146,2000,"{'drone0': 45, 'drone1': 46}","{'drone0': 2.3769772, 'drone1': 2.35883}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,44.05041291786905,2000,"{'drone0': 45, 'drone1': 46}","{'drone0': 2.3761804, 'drone1': 2.3599303}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,44.27113833707323,2000,"{'drone0': 45, 'drone1': 46}","{'drone0': 2.3760757, 'drone1': 2.3598032}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
