episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,169.18938920902468,2000,"{'drone0': 63, 'drone1': 63, 'drone2': 63, 'drone3': 63}","{'drone0': 3.9505024, 'drone1': 3.953563, 'drone2': 3.9659917, 'drone3': 3.9585989}","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
1,752.8018334793868,2000,"{'drone0': 63, 'drone1': 63, 'drone2': 63, 'drone3': 63}","{'drone0': 3.9504678, 'drone1': 3.954021, 'drone2': 3.9594243, 'drone3': 3.965046}","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
2,773.562319797609,2000,"{'drone0': 63, 'drone1': 63, 'drone2': 63, 'drone3': 63}","{'drone0': 3.95213, 'drone1': 3.9531026, 'drone2': 3.9660397, 'drone3': 3.9594796}","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
3,829.4816258868767,2000,"{'drone0': 62, 'drone1': 62, 'drone2': 57, 'drone3': 62}","{'drone0': 3.949018, 'drone1': 3.9591322, 'drone2': 3.7792392, 'drone3': 3.967594}","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
4,709.5023524589792,2000,"{'drone0': 63, 'drone1': 63, 'drone2': 63, 'drone3': 63}","{'drone0': 3.9542785, 'drone1': 3.9566855, 'drone2': 3.963851, 'drone3': 3.964218}","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
