episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,195.90365123618886,2000,"{'drone0': 30, 'drone1': 30, 'drone2': 30, 'drone3': 30}","{'drone0': 1.3558122, 'drone1': 1.3713402, 'drone2': 1.3665652, 'drone3': 1.3654932}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,187.649453248298,2000,"{'drone0': 30, 'drone1': 30, 'drone2': 30, 'drone3': 30}","{'drone0': 1.3671031, 'drone1': 1.3740804, 'drone2': 1.3734074, 'drone3': 1.3716738}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,197.39302265263353,2000,"{'drone0': 30, 'drone1': 30, 'drone2': 30, 'drone3': 30}","{'drone0': 1.355448, 'drone1': 1.373417, 'drone2': 1.3649275, 'drone3': 1.3638952}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,192.6522681388574,2000,"{'drone0': 30, 'drone1': 30, 'drone2': 30, 'drone3': 30}","{'drone0': 1.3641534, 'drone1': 1.379532, 'drone2': 1.3769748, 'drone3': 1.3761364}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,194.68973396511345,2000,"{'drone0': 30, 'drone1': 30, 'drone2': 30, 'drone3': 0}","{'drone0': 1.3502048, 'drone1': 1.3602812, 'drone2': 1.3600831, 'drone3': 0.06893109}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
