episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,-575.4092019679152,2000,"{'drone0': 35, 'drone1': 42}","{'drone0': 2.9209368, 'drone1': 3.0364044}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,-588.2384785963771,2000,"{'drone0': 34, 'drone1': 38}","{'drone0': 2.9304314, 'drone1': 3.0237546}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,-538.2506437305223,2000,"{'drone0': 35, 'drone1': 35}","{'drone0': 2.9991572, 'drone1': 2.9094994}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,-525.5917598558393,2000,"{'drone0': 38, 'drone1': 38}","{'drone0': 2.9352012, 'drone1': 2.9859087}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,-619.3703309796666,2000,"{'drone0': 34, 'drone1': 35}","{'drone0': 2.8988855, 'drone1': 2.9682817}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
