episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,-1082.6347877963208,2000,"{'drone0': 30, 'drone1': 61, 'drone2': 55}","{'drone0': 3.5460522, 'drone1': 3.3676715, 'drone2': 3.4307683}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
1,-776.0196082997069,2000,"{'drone0': 58, 'drone1': 56, 'drone2': 56}","{'drone0': 3.4470668, 'drone1': 3.3019457, 'drone2': 3.30734}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
2,-769.3350522815575,2000,"{'drone0': 57, 'drone1': 62, 'drone2': 56}","{'drone0': 3.463462, 'drone1': 3.352, 'drone2': 3.392978}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
3,-768.6421434558802,2000,"{'drone0': 58, 'drone1': 56, 'drone2': 56}","{'drone0': 3.455088, 'drone1': 3.2952094, 'drone2': 3.2960424}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
4,-782.3474174380971,2000,"{'drone0': 58, 'drone1': 56, 'drone2': 50}","{'drone0': 3.4304953, 'drone1': 3.2805846, 'drone2': 3.316375}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
