episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,1995.1481907420027,2000,"{'drone0': 52, 'drone1': 52, 'drone2': 52}","{'drone0': 3.191194, 'drone1': 3.1957266, 'drone2': 3.1940527}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,1994.1397167297769,2000,"{'drone0': 52, 'drone1': 52, 'drone2': 52}","{'drone0': 3.191283, 'drone1': 3.1956527, 'drone2': 3.1948042}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,1995.1676456034695,2000,"{'drone0': 52, 'drone1': 52, 'drone2': 52}","{'drone0': 3.191209, 'drone1': 3.1954584, 'drone2': 3.1941104}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,1995.1551844980804,2000,"{'drone0': 52, 'drone1': 52, 'drone2': 52}","{'drone0': 3.191196, 'drone1': 3.1956594, 'drone2': 3.1940591}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,1995.3838006935182,2000,"{'drone0': 52, 'drone1': 52, 'drone2': 52}","{'drone0': 3.1912498, 'drone1': 3.1954176, 'drone2': 3.194102}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
