episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,1945.8479816271497,2000,"{'drone0': 44, 'drone1': 44}","{'drone0': 2.1261117, 'drone1': 2.1226723}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,1946.9792152772886,2000,"{'drone0': 44, 'drone1': 44}","{'drone0': 2.131106, 'drone1': 2.1251523}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,1947.297381725118,2000,"{'drone0': 44, 'drone1': 44}","{'drone0': 2.129756, 'drone1': 2.125206}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,1947.1390767756814,2000,"{'drone0': 44, 'drone1': 44}","{'drone0': 2.131122, 'drone1': 2.1261876}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,1945.3178106578885,2000,"{'drone0': 44, 'drone1': 44}","{'drone0': 2.129278, 'drone1': 2.1245646}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
