episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,137.40296305057944,2000,"{'drone0': 65, 'drone1': 64}","{'drone0': 4.419737, 'drone1': 4.455219}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,111.05173513949738,2000,"{'drone0': 64, 'drone1': 63}","{'drone0': 4.4559784, 'drone1': 4.47679}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,127.639975349427,2000,"{'drone0': 64, 'drone1': 64}","{'drone0': 4.4514837, 'drone1': 4.4730334}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,141.14481416583394,2000,"{'drone0': 65, 'drone1': 64}","{'drone0': 4.4116135, 'drone1': 4.452344}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,128.09738552882405,2000,"{'drone0': 64, 'drone1': 64}","{'drone0': 4.442992, 'drone1': 4.4744844}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
