episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,-158.31730852794183,2000,"{'drone0': 55, 'drone1': 57, 'drone2': 57, 'drone3': 57}","{'drone0': 3.071106, 'drone1': 3.0480149, 'drone2': 3.0366745, 'drone3': 3.0287197}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,-159.4391184890912,2000,"{'drone0': 55, 'drone1': 57, 'drone2': 57, 'drone3': 57}","{'drone0': 3.0704393, 'drone1': 3.0480902, 'drone2': 3.0347598, 'drone3': 3.0316622}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,-164.0300810285347,2000,"{'drone0': 55, 'drone1': 57, 'drone2': 57, 'drone3': 57}","{'drone0': 3.0724783, 'drone1': 3.0485, 'drone2': 3.0363853, 'drone3': 3.028625}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,-159.77298680181454,2000,"{'drone0': 55, 'drone1': 57, 'drone2': 57, 'drone3': 57}","{'drone0': 3.0706458, 'drone1': 3.049624, 'drone2': 3.0343473, 'drone3': 3.0308163}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,-159.5518494097255,2000,"{'drone0': 55, 'drone1': 57, 'drone2': 57, 'drone3': 57}","{'drone0': 3.0710027, 'drone1': 3.0498824, 'drone2': 3.03422, 'drone3': 3.0295098}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
