episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,385.5365748753785,2000,"{'drone0': 39, 'drone1': 39}","{'drone0': 2.0294814, 'drone1': 2.0323417}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,381.2893183796357,2000,"{'drone0': 39, 'drone1': 39}","{'drone0': 2.028914, 'drone1': 2.0312405}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,388.85590777008866,2000,"{'drone0': 39, 'drone1': 39}","{'drone0': 2.029631, 'drone1': 2.0318263}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,381.36241061305884,2000,"{'drone0': 39, 'drone1': 39}","{'drone0': 2.029689, 'drone1': 2.031496}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,378.6452620672153,2000,"{'drone0': 39, 'drone1': 39}","{'drone0': 2.0294552, 'drone1': 2.031637}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
