episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,-61.26923644607342,2000,"{'drone0': 27, 'drone1': 38, 'drone2': 28}","{'drone0': 1.9241251, 'drone1': 2.4708638, 'drone2': 2.0261595}","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
1,80.91222391235439,2000,"{'drone0': 29, 'drone1': 29, 'drone2': 35}","{'drone0': 2.1203897, 'drone1': 2.1215394, 'drone2': 2.3642058}","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
2,377.9331201175952,2000,"{'drone0': 32, 'drone1': 38, 'drone2': 38}","{'drone0': 2.225333, 'drone1': 2.477909, 'drone2': 2.4711382}","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
3,162.17425945798692,2000,"{'drone0': 30, 'drone1': 38, 'drone2': 32}","{'drone0': 2.0953908, 'drone1': 2.4660454, 'drone2': 2.2141385}","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
4,181.98677462439568,2000,"{'drone0': 29, 'drone1': 29, 'drone2': 35}","{'drone0': 2.1189294, 'drone1': 2.1193936, 'drone2': 2.3606539}","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
