episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,1905.1383213845984,2000,"{'drone0': 44, 'drone1': 45, 'drone2': 44}","{'drone0': 2.1533756, 'drone1': 2.1839688, 'drone2': 2.1713731}","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
1,1797.795140311604,2000,"{'drone0': 44, 'drone1': 44, 'drone2': 43}","{'drone0': 2.1723773, 'drone1': 2.17273, 'drone2': 2.1581895}","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
2,1933.815245626636,2000,"{'drone0': 44, 'drone1': 45, 'drone2': 44}","{'drone0': 2.149833, 'drone1': 2.186837, 'drone2': 2.178593}","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
3,1796.1755746531792,2000,"{'drone0': 44, 'drone1': 44, 'drone2': 43}","{'drone0': 2.1721406, 'drone1': 2.1717992, 'drone2': 2.1577218}","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
4,1912.4461136746258,2000,"{'drone0': 44, 'drone1': 45, 'drone2': 44}","{'drone0': 2.1533873, 'drone1': 2.1836348, 'drone2': 2.170752}","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
