episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,97.50575248108183,2000,"{'drone0': 67, 'drone1': 70, 'drone2': 71, 'drone3': 68}","{'drone0': 4.255031, 'drone1': 4.5153584, 'drone2': 4.510766, 'drone3': 4.3878827}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
1,115.02177686147262,2000,"{'drone0': 67, 'drone1': 68, 'drone2': 68, 'drone3': 71}","{'drone0': 4.2704935, 'drone1': 4.481298, 'drone2': 4.415464, 'drone3': 4.509382}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
2,80.9834015954326,2000,"{'drone0': 64, 'drone1': 70, 'drone2': 71, 'drone3': 71}","{'drone0': 4.3273234, 'drone1': 4.398954, 'drone2': 4.401263, 'drone3': 4.4037514}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
3,73.37797549414479,2000,"{'drone0': 64, 'drone1': 70, 'drone2': 71, 'drone3': 71}","{'drone0': 4.3170967, 'drone1': 4.3978667, 'drone2': 4.420081, 'drone3': 4.4108467}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
4,-328.52977003853283,2000,"{'drone0': 55, 'drone1': 71, 'drone2': 71, 'drone3': 57}","{'drone0': 3.7834508, 'drone1': 4.4199824, 'drone2': 4.410517, 'drone3': 3.9201303}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
