episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,756.6724315411797,2000,"{'drone0': 48, 'drone1': 48, 'drone2': 48}","{'drone0': 3.1591167, 'drone1': 3.1697552, 'drone2': 3.1518936}","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
1,284.45545171485276,2000,"{'drone0': 43, 'drone1': 48, 'drone2': 48}","{'drone0': 2.9741995, 'drone1': 3.1699045, 'drone2': 3.1688662}","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
2,760.8105536577459,2000,"{'drone0': 48, 'drone1': 48, 'drone2': 48}","{'drone0': 3.173782, 'drone1': 3.1690993, 'drone2': 3.1635156}","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
3,755.0814657835368,2000,"{'drone0': 48, 'drone1': 48, 'drone2': 48}","{'drone0': 3.1565652, 'drone1': 3.1572752, 'drone2': 3.1485708}","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
4,206.4222190843034,2000,"{'drone0': 43, 'drone1': 48, 'drone2': 48}","{'drone0': 2.9731488, 'drone1': 3.1650586, 'drone2': 3.1617696}","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
