episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,332.7122665079194,2000,"{'drone0': 32, 'drone1': 32}","{'drone0': 1.9818511, 'drone1': 1.9807026}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,334.88798515624325,2000,"{'drone0': 32, 'drone1': 32}","{'drone0': 1.9798449, 'drone1': 1.9800524}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,333.87025706397156,2000,"{'drone0': 32, 'drone1': 32}","{'drone0': 1.9804375, 'drone1': 1.9809752}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,330.8700391087858,2000,"{'drone0': 32, 'drone1': 32}","{'drone0': 1.9813178, 'drone1': 1.9809961}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,330.022474475174,2000,"{'drone0': 32, 'drone1': 32}","{'drone0': 1.9849273, 'drone1': 1.9837409}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
