episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,-518.6229123752313,2000,"{'drone0': 52, 'drone1': 52}","{'drone0': 3.7049685, 'drone1': 3.7012877}","[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]"
1,548.6236355219432,2000,"{'drone0': 54, 'drone1': 62}","{'drone0': 3.7979138, 'drone1': 4.086225}","[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]"
2,-392.7213873110576,2000,"{'drone0': 52, 'drone1': 52}","{'drone0': 3.7043486, 'drone1': 3.697791}","[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]"
3,547.7557725927614,2000,"{'drone0': 54, 'drone1': 62}","{'drone0': 3.7919984, 'drone1': 4.0891323}","[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]"
4,-420.3884672398361,2000,"{'drone0': 52, 'drone1': 52}","{'drone0': 3.698837, 'drone1': 3.6953754}","[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]"
