episode,total_reward,steps,targets_reached,avg_speed,collisions:
0,677.0713234395513,2000,"{'drone0': 58, 'drone1': 57, 'drone2': 55}","{'drone0': 3.886362, 'drone1': 3.9459085, 'drone2': 3.8071656}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,793.7864146314298,2000,"{'drone0': 60, 'drone1': 60, 'drone2': 60}","{'drone0': 3.9444976, 'drone1': 3.9671378, 'drone2': 3.9933708}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,666.4548651443025,2000,"{'drone0': 57, 'drone1': 51, 'drone2': 51}","{'drone0': 3.868301, 'drone1': 3.7444413, 'drone2': 3.739894}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,798.7845150751755,2000,"{'drone0': 60, 'drone1': 60, 'drone2': 46}","{'drone0': 3.973856, 'drone1': 4.0299163, 'drone2': 3.5092592}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,801.6350898650348,2000,"{'drone0': 60, 'drone1': 60, 'drone2': 47}","{'drone0': 3.974662, 'drone1': 4.026585, 'drone2': 3.5029936}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
